Page,Cluster,Illustration,Language,IllustrationAndLanguage,RandomGroup,Tokens,y-,o-,q-,d-,l-,T-,s-,r-,dC-,-od-,-ol-,-oa-,-os-,-or-,-y-,-yk-,-yC-,-yt-,-l-,-lk-,-la-,-ld-,-lo-,-lC-,-lS-,-r-,-ra-,-ro-,-p-,-f-,-tC-,-pC-,-ka-,-ta-,-kC-,-Co-,-Cd-,-Ce-,-CE-,-Ca-,-Se-,-So-,-SE-,-Sy-,-Ke-,-Ty-,-To-,-Ky-,-B-,-ed-,-eo-,-Eo-,-Ed-,-so-,-sa-,-s,-i-,-ir-,-ly,-ry,-d
f1r,?,T,A,TA,0,214,0.056074766355140186,0.13551401869158877,0.0,0.14953271028037382,0.0,0.07476635514018691,0.037383177570093455,0.014018691588785047,0.009345794392523364,0.08411214953271028,0.1261682242990654,0.014018691588785047,0.014018691588785047,0.06542056074766354,0.35046728971962615,0.009345794392523364,0.009345794392523364,0.009345794392523364,0.1588785046728972,0.0,0.0,0.014018691588785047,0.004672897196261682,0.0,0.0,0.21495327102803738,0.014018691588785047,0.009345794392523364,0.014018691588785047,0.009345794392523364,0.009345794392523364,0.0,0.06074766355140187,0.02336448598130841,0.02336448598130841,0.102803738317757,0.004672897196261682,0.03271028037383177,0.009345794392523364,0.009345794392523364,0.0514018691588785,0.11214953271028037,0.0,0.014018691588785047,0.018691588785046728,0.02336448598130841,0.018691588785046728,0.004672897196261682,0.0,0.0,0.018691588785046728,0.0,0.0,0.004672897196261682,0.009345794392523364,0.056074766355140186,0.09345794392523364,0.014018691588785047,0.004672897196261682,0.018691588785046728,0.02336448598130841
f1v,HA,H,A,HA,4,89,0.033707865168539325,0.12359550561797752,0.011235955056179775,0.2247191011235955,0.02247191011235955,0.056179775280898875,0.02247191011235955,0.0,0.02247191011235955,0.14606741573033707,0.3258426966292135,0.02247191011235955,0.0,0.0449438202247191,0.38202247191011235,0.02247191011235955,0.0,0.011235955056179775,0.38202247191011235,0.011235955056179775,0.0,0.0,0.02247191011235955,0.02247191011235955,0.0,0.15730337078651685,0.0,0.0,0.02247191011235955,0.0,0.0449438202247191,0.0,0.011235955056179775,0.011235955056179775,0.011235955056179775,0.23595505617977527,0.0,0.06741573033707865,0.0,0.033707865168539325,0.0,0.07865168539325842,0.011235955056179775,0.02247191011235955,0.0,0.02247191011235955,0.02247191011235955,0.02247191011235955,0.0,0.0,0.02247191011235955,0.0,0.0,0.011235955056179775,0.0,0.011235955056179775,0.02247191011235955,0.02247191011235955,0.0,0.0,0.0
f2r,HA,H,A,HA,2,100,0.13,0.05,0.04,0.22,0.0,0.06,0.09,0.0,0.02,0.04,0.17,0.01,0.0,0.11,0.42,0.05,0.01,0.03,0.25,0.0,0.01,0.02,0.01,0.0,0.01,0.13,0.0,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.0,0.11,0.0,0.02,0.0,0.06,0.01,0.07,0.03,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.06,0.03,0.06,0.0,0.0,0.01,0.03
f2v,HA,H,A,HA,3,59,0.0,0.06779661016949153,0.05084745762711865,0.1694915254237288,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.0847457627118644,0.1694915254237288,0.0,0.01694915254237288,0.1864406779661017,0.2542372881355932,0.0,0.0,0.0,0.2033898305084746,0.0,0.0,0.0,0.05084745762711865,0.0,0.01694915254237288,0.22033898305084745,0.0,0.0,0.01694915254237288,0.0,0.06779661016949153,0.01694915254237288,0.0,0.01694915254237288,0.05084745762711865,0.3728813559322034,0.0,0.0847457627118644,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.0,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.03389830508474576,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.05084745762711865,0.06779661016949153,0.01694915254237288,0.0,0.0,0.0
f3r,HA,H,A,HA,0,115,0.05217391304347826,0.1826086956521739,0.19130434782608696,0.0782608695652174,0.0,0.05217391304347826,0.06956521739130435,0.0,0.0,0.0782608695652174,0.2608695652173913,0.008695652173913044,0.02608695652173913,0.19130434782608696,0.20869565217391303,0.0,0.02608695652173913,0.008695652173913044,0.2956521739130435,0.0,0.0,0.017391304347826087,0.02608695652173913,0.008695652173913044,0.0,0.21739130434782608,0.008695652173913044,0.008695652173913044,0.06086956521739131,0.0,0.043478260869565216,0.034782608695652174,0.008695652173913044,0.017391304347826087,0.017391304347826087,0.23478260869565218,0.0,0.08695652173913043,0.0,0.05217391304347826,0.06086956521739131,0.043478260869565216,0.0,0.008695652173913044,0.0,0.02608695652173913,0.034782608695652174,0.0,0.0,0.0,0.17391304347826086,0.008695652173913044,0.0,0.02608695652173913,0.017391304347826087,0.05217391304347826,0.02608695652173913,0.017391304347826087,0.008695652173913044,0.0,0.0
f3v,HA,H,A,HA,2,83,0.08433734939759036,0.18072289156626506,0.060240963855421686,0.08433734939759036,0.0,0.03614457831325301,0.04819277108433735,0.012048192771084338,0.0,0.060240963855421686,0.14457831325301204,0.03614457831325301,0.0,0.1686746987951807,0.25301204819277107,0.03614457831325301,0.012048192771084338,0.060240963855421686,0.20481927710843373,0.0,0.0,0.0,0.0,0.0,0.0,0.2891566265060241,0.0,0.0,0.0,0.0,0.0963855421686747,0.0,0.07228915662650602,0.0,0.07228915662650602,0.2289156626506024,0.0,0.04819277108433735,0.024096385542168676,0.04819277108433735,0.012048192771084338,0.04819277108433735,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.012048192771084338,0.0,0.03614457831325301,0.0,0.0,0.0,0.0,0.060240963855421686,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.012048192771084338,0.0
f4r,HA,H,A,HA,3,64,0.03125,0.0625,0.109375,0.140625,0.0,0.09375,0.03125,0.0,0.015625,0.03125,0.203125,0.0,0.0,0.109375,0.359375,0.0,0.0,0.046875,0.234375,0.0,0.0,0.015625,0.0,0.015625,0.0,0.125,0.03125,0.0,0.03125,0.0,0.125,0.0,0.015625,0.03125,0.0,0.15625,0.0,0.0,0.0,0.0625,0.03125,0.09375,0.015625,0.03125,0.0,0.03125,0.046875,0.0,0.0,0.0,0.015625,0.0,0.0,0.015625,0.0,0.015625,0.015625,0.0,0.0,0.0,0.0
f4v,HA,H,A,HA,1,84,0.011904761904761904,0.11904761904761904,0.09523809523809523,0.07142857142857142,0.0,0.047619047619047616,0.023809523809523808,0.0,0.0,0.15476190476190477,0.10714285714285714,0.011904761904761904,0.0,0.13095238095238096,0.39285714285714285,0.011904761904761904,0.0,0.011904761904761904,0.11904761904761904,0.0,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.0,0.0,0.16666666666666666,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.05952380952380952,0.19047619047619047,0.0,0.05952380952380952,0.0,0.023809523809523808,0.03571428571428571,0.11904761904761904,0.023809523809523808,0.0,0.0,0.03571428571428571,0.023809523809523808,0.0,0.0,0.0,0.11904761904761904,0.011904761904761904,0.0,0.0,0.0,0.03571428571428571,0.023809523809523808,0.0,0.0,0.023809523809523808,0.011904761904761904
f5r,HA,H,A,HA,1,55,0.0,0.2,0.16363636363636364,0.09090909090909091,0.0,0.05454545454545454,0.01818181818181818,0.0,0.0,0.12727272727272726,0.05454545454545454,0.07272727272727272,0.0,0.07272727272727272,0.5454545454545454,0.01818181818181818,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.01818181818181818,0.05454545454545454,0.0,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.10909090909090909,0.0,0.12727272727272726,0.0,0.01818181818181818,0.01818181818181818,0.14545454545454545,0.0,0.05454545454545454,0.0,0.05454545454545454,0.0,0.0,0.05454545454545454,0.0,0.10909090909090909,0.0,0.0,0.0,0.0,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0,0.0
f5v,HA,H,A,HA,2,45,0.1111111111111111,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.044444444444444446,0.022222222222222223,0.0,0.022222222222222223,0.06666666666666667,0.24444444444444444,0.0,0.0,0.2222222222222222,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,0.0,0.022222222222222223,0.044444444444444446,0.0,0.08888888888888889,0.0,0.0,0.06666666666666667,0.022222222222222223,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.0,0.0,0.022222222222222223
f6r,HA,H,A,HA,4,85,0.11764705882352941,0.16470588235294117,0.03529411764705882,0.07058823529411765,0.0,0.09411764705882353,0.047058823529411764,0.0,0.0,0.08235294117647059,0.1411764705882353,0.011764705882352941,0.011764705882352941,0.17647058823529413,0.2235294117647059,0.011764705882352941,0.023529411764705882,0.023529411764705882,0.16470588235294117,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.29411764705882354,0.0,0.0,0.03529411764705882,0.011764705882352941,0.03529411764705882,0.023529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.18823529411764706,0.0,0.011764705882352941,0.0,0.058823529411764705,0.03529411764705882,0.058823529411764705,0.023529411764705882,0.0,0.0,0.047058823529411764,0.03529411764705882,0.011764705882352941,0.0,0.0,0.058823529411764705,0.011764705882352941,0.0,0.0,0.0,0.08235294117647059,0.0,0.0,0.011764705882352941,0.011764705882352941,0.03529411764705882
