ID	IllustrationType	Language	Cluster	Hand	Quire	Parchment	Illustration + Language
f7r	H	A	HA1	1	A	2	HA
f23v	H	A	HA1	1	C	10	HA
f35v	H	A	HA1	1	E	19	HA
f47v	H	A	HA1	1	F	22	HA
f11r	H	A	HA1	1	B	7	HA
f7v	H	A	HA1	1	A	2	HA
f23r	H	A	HA1	1	C	10	HA
f35r	H	A	HA1	1	E	19	HA
f47r	H	A	HA1	1	F	22	HA
f11v	H	A	HA1	1	B	7	HA
f68r3	A	?	A	?	I	31	A?
f34v	H	B	HB1	2	E	18	HB
f8r	H	A	HA1	1	A	1	HA
f46v	H	B	HB1	2	F	23	HB
f10r	H	A	HA1	1	B	6	HA
f58v	T	A	T	?	H	30	TA
f22r	H	A	HA1	1	C	11	HA
f34r	H	B	HB1	2	E	18	HB
f8v	H	A	HA1	1	A	1	HA
f46r	H	B	HB1	2	F	23	HB
f58r	T	A	T	?	H	30	TA
f72r3	Z	?	Z	?	K	33	Z?
f72r2	Z	?	Z	?	K	33	Z?
f72r1	Z	?	Z	?	K	33	Z?
f95r1	H	B	HB1	5	Q	44	HB
f95r2	H	B	HB1	5	Q	44	HB
f9r	H	A	HA1	1	B	5	HA
f10v	H	A	HA1	1	B	6	HA
f22v	H	A	HA1	1	C	11	HA
f13v	H	A	HA1	1	B	8	HA
f9v	H	A	HA1	1	B	5	HA
f25v	H	A	HA1	1	D	13	HA
f37v	H	A	HA1	1	E	20	HA
f49v	H	A	HA1	1	G	25	HA
f13r	H	A	HA1	1	B	8	HA
f95v1	H	B	HB1	5	Q	44	HB
f25r	H	A	HA1	1	D	13	HA
f95v2	H	B	HB1	5	Q	44	HB
f37r	H	A	HA1	1	E	20	HA
f49r	H	A	HA1	1	G	25	HA
f70r2	C	?	C	?	J	32	C?
f70r1	C	?	C	?	J	32	C?
f72v3	Z	?	Z	?	K	33	Z?
f72v2	Z	?	Z	?	K	33	Z?
f67r1	A	?	A	?	I	31	A?
f67r2	A	?	A	?	I	31	A?
f111r	S	B	SB1	?	T	52	SB
f81v	B	B	BB1	2	M	38	BB
f93v	H	A	PHA	4	Q	43	HA
f102r2	P	A	PHA	?	S	45	PA
f102r1	P	A	PHA	?	S	45	PA
f81r	B	B	BB1	2	M	38	BB
f93r	H	A	PHA	4	Q	43	HA
f111v	S	B	SB1	?	T	52	SB
f24v	H	A	HA1	1	C	9	HA
f36v	H	A	HA1	1	E	20	HA
f48v	H	B	HB1	2	F	21	HB
f24r	H	A	HA1	1	C	9	HA
f36r	H	A	HA1	1	E	20	HA
f48r	H	B	HB1	2	F	21	HB
f80v	B	B	BB1	2	M	39	BB
f80r	B	B	BB1	2	M	39	BB
f90v1	H	A	PHA	?	O	41	HA
f90v2	H	A	PHA	?	O	41	HA
f15v	H	A	HA1	1	B	6	HA
f39v	H	B	HB1	2	E	18	HB
f15r	H	A	HA1	1	B	6	HA
f27r	H	A	HA1	1	D	15	HA
f39r	H	B	HB1	2	E	18	HB
f85r2	C	B	C	3	N	40	CB
f85r1	T	B	T	3	N	40	TB
f71v	Z	?	Z	?	K	33	Z?
f83v	B	B	BB1	2	M	36	BB
f71r	Z	?	Z	?	K	33	Z?
f83r	B	B	BB1	2	M	36	BB
f14v	H	A	HA1	1	B	7	HA
f26v	H	B	HB1	2	D	14	HB
f38v	H	A	HA1	1	E	19	HA
f14r	H	A	HA1	1	B	7	HA
f26r	H	B	HB1	2	D	14	HB
f38r	H	A	HA1	1	E	19	HA
f108v	S	B	SB1	?	T	52	SB
f82v	B	B	BB1	2	M	37	BB
f94v	H	B	HB1	5	Q	44	HB
f82r	B	B	BB1	2	M	37	BB
f94r	H	B	HB1	5	Q	44	HB
f17v	H	A	HA1	1	C	9	HA
f29v	H	A	HA1	1	D	16	HA
f17r	H	A	HA1	1	C	9	HA
f29r	H	A	HA1	1	D	16	HA
f86v6	C	B	C	3	N	40	CB
f86v5	C	B	C	3	N	40	CB
f86v4	C	B	C	3	N	40	CB
f86v3	C	B	C	3	N	40	CB
f73v	Z	?	Z	?	L	34	Z?
f73r	Z	?	Z	?	L	34	Z?
f96r	H	A	PHA	4	Q	43	HA
f16v	H	A	HA1	1	B	5	HA
f28v	H	A	HA1	1	D	16	HA
f16r	H	A	HA1	1	B	5	HA
f28r	H	A	HA1	1	D	16	HA
f84v	B	B	BB1	2	M	35	BB
f96v	H	A	PHA	4	Q	43	HA
f84r	B	B	BB1	2	M	35	BB
f75r	B	B	BB1	2	M	35	BB
f87r	H	A	PHA	4	O	41	HA
f99r	P	A	PHA	?	S	45	PA
f90r1	H	A	PHA	?	O	41	HA
f90r2	H	A	PHA	?	O	41	HA
f19v	H	A	HA1	1	C	11	HA
f19r	H	A	HA1	1	C	11	HA
f105v	S	B	SB2	Y	T	49	SB
f89v2	P	A	PHA	?	O	42	PA
f89v1	P	A	PHA	?	O	42	PA
f105r	S	B	SB2	Y	T	49	SB
f51v	H	A	PHA	1	G	27	HA
f75v	B	B	BB1	2	M	35	BB
f87v	H	A	PHA	4	O	41	HA
f51r	H	A	PHA	1	G	27	HA
f99v	P	A	PHA	?	S	45	PA
f18v	H	A	HA1	1	C	10	HA
f18r	H	A	HA1	1	C	10	HA
f104v	S	B	SB2	X	T	48	SB
f116r	S	B	SB1	?	T	47	SB
f104r	S	B	SB2	X	T	48	SB
f50v	H	B	HB1	2	G	26	HB
f50r	H	B	HB1	2	G	26	HB
f41r	H	B	HB1	2	F	21	HB
f77r	B	B	BB1	2	M	37	BB
f1r	T	A	HA1	1	A	1	TA
f1v	H	A	HA1	1	A	1	HA
f108r	S	B	SB1	?	T	52	SB
f107v	S	B	SB1	?	T	51	SB
f107r	S	B	SB1	?	T	51	SB
f41v	H	B	HB1	2	F	21	HB
f53v	H	A	PHA	1	G	28	HA
f65v	H	?	H	?	H	30	H?
f77v	B	B	BB1	2	M	37	BB
f52r	H	A	PHA	1	G	28	HA
f76r	B	B	BB1	2	M	36	BB
f88r	P	A	PHA	4	O	42	PA
f2r	H	A	HA1	1	A	2	HA
f2v	H	A	HA1	1	A	2	HA
f106v	S	B	SB2	X	T	50	SB
f106r	S	B	SB2	X	T	50	SB
f40v	H	B	HB1	2	E	17	HB
f52v	H	A	PHA	1	G	28	HA
f76v	B	B	BB1	2	M	36	BB
f40r	H	B	HB1	2	E	17	HB
f88v	P	A	PHA	4	O	42	PA
f31r	H	B	HB1	2	D	14	HB
f79v	B	B	BB1	2	M	39	BB
f43r	H	B	HB1	2	F	23	HB
f55r	H	B	HB1	2	G	26	HB
f3r	H	A	HA1	1	A	3	HA
