ID,IllustrationType,Language,Hand,Quire,PageInQuire,Parchment,Words,Tokens,ClearWords,ClearTokens
f1r,T,A,1,A,A,1,204,171,130,99
f1v,H,A,1,A,B,1,84,67,73,56
f2r,H,A,1,A,C,2,99,83,88,72
f2v,H,A,1,A,D,2,58,44,46,32
f3r,H,A,1,A,E,3,110,89,90,70
f3v,H,A,1,A,F,3,82,75,56,49
f4r,H,A,1,A,G,4,63,51,52,41
f4v,H,A,1,A,H,4,79,71,54,46
f5r,H,A,1,A,I,4,54,46,44,36
f5v,H,A,1,A,J,4,45,37,33,26
f6r,H,A,1,A,K,3,77,66,60,49
f6v,H,A,1,A,L,3,106,90,72,56
f7r,H,A,1,A,M,2,63,60,49,46
f7v,H,A,1,A,N,2,68,58,47,37
f8r,H,A,1,A,O,1,144,118,114,88
f8v,H,A,1,A,P,1,118,90,94,66
f9r,H,A,1,B,A,5,80,74,63,57
f9v,H,A,1,B,B,5,80,66,69,55
f10r,H,A,1,B,C,6,87,68,76,57
f10v,H,A,1,B,D,6,53,40,45,32
f11r,H,A,1,B,E,7,56,43,49,36
f11v,H,A,1,B,F,7,47,41,38,32
f13r,H,A,1,B,G,8,73,64,63,54
f13v,H,A,1,B,H,8,61,55,48,42
f14r,H,A,1,B,I,7,74,64,60,50
f14v,H,A,1,B,J,7,63,54,45,36
f15r,H,A,1,B,K,6,83,68,68,53
f15v,H,A,1,B,L,6,66,50,54,39
f16r,H,A,1,B,M,5,75,69,60,54
f16v,H,A,1,B,N,5,70,59,57,46
f17r,H,A,1,C,A,9,73,70,55,52
f17v,H,A,1,C,B,9,129,107,103,81
f18r,H,A,1,C,C,10,77,61,62,46
f18v,H,A,1,C,D,10,67,61,52,46
f19r,H,A,1,C,E,11,75,51,63,39
f19v,H,A,1,C,F,11,69,56,55,42
f20r,H,A,1,C,G,12,83,75,66,58
f20v,H,A,1,C,H,12,82,70,63,51
f21r,H,A,1,C,I,12,93,79,76,62
f21v,H,A,1,C,J,12,53,43,44,34
f22r,H,A,1,C,K,11,100,75,82,57
f22v,H,A,1,C,L,11,73,61,58,46
f23r,H,A,1,C,M,10,98,79,73,54
f23v,H,A,1,C,N,10,85,77,63,55
f24r,H,A,1,C,O,9,104,83,78,57
f24v,H,A,1,C,P,9,81,77,55,51
f25r,H,A,1,D,A,13,48,41,43,36
f25v,H,A,1,D,B,13,57,43,47,33
f26r,H,B,2,D,C,14,83,64,60,42
f26v,H,B,2,D,D,14,86,73,63,50
f27r,H,A,1,D,E,15,83,63,70,50
f27v,H,A,1,D,F,15,51,46,28,23
f28r,H,A,1,D,G,16,66,57,56,47
f28v,H,A,1,D,H,16,67,53,56,42
f29r,H,A,1,D,I,16,63,55,55,47
f29v,H,A,1,D,J,16,88,75,69,56
f30r,H,A,1,D,K,15,86,72,66,52
f30v,H,A,1,D,L,15,60,49,47,36
f31r,H,B,2,D,M,14,95,79,71,55
f31v,H,B,2,D,N,14,99,94,74,69
f32r,H,A,1,D,O,13,71,61,57,47
f32v,H,A,1,D,P,13,69,55,53,39
f33r,H,B,2,E,A,17,70,59,59,48
f33v,H,B,2,E,B,17,100,81,77,59
f34r,H,B,2,E,C,18,138,117,116,95
f34v,H,B,2,E,D,18,93,80,70,57
f35r,H,A,1,E,E,19,85,68,72,55
f35v,H,A,1,E,F,19,80,66,65,51
f36r,H,A,1,E,G,20,59,54,48,43
f36v,H,A,1,E,H,20,69,59,57,47
f37r,H,A,1,E,I,20,68,59,53,44
f37v,H,A,1,E,J,20,87,66,72,51
f38r,H,A,1,E,K,19,39,34,35,30
