ID,IllustrationType,Language,Hand,Quire,PageInQuire,Words,Tokens,ClearWords,ClearTokens
f1r,T,A,1,A,A,215,166,200,152
f1v,H,A,1,A,B,90,66,89,65
f2r,H,A,1,A,C,101,82,100,81
f2v,H,A,1,A,D,60,46,60,46
f3r,H,A,1,A,E,116,88,114,86
f3v,H,A,1,A,F,84,73,81,70
f4r,H,A,1,A,G,65,49,63,47
f4v,H,A,1,A,H,85,75,80,70
f5r,H,A,1,A,I,56,47,55,46
f5v,H,A,1,A,J,46,36,44,34
f6r,H,A,1,A,K,86,68,86,68
f6v,H,A,1,A,L,115,89,111,85
f7r,H,A,1,A,M,63,57,63,57
f7v,H,A,1,A,N,75,60,72,57
f8r,H,A,1,A,O,149,119,143,113
f8v,H,A,1,A,P,120,90,118,88
f9r,H,A,1,B,A,85,75,85,75
f9v,H,A,1,B,B,85,67,85,67
f10r,H,A,1,B,C,92,71,92,71
f10v,H,A,1,B,D,54,40,54,40
f11r,H,A,1,B,E,58,44,58,44
f11v,H,A,1,B,F,50,44,50,44
f13r,H,A,1,B,G,79,62,77,60
f13v,H,A,1,B,H,67,57,67,57
f14r,H,A,1,B,I,75,64,74,63
f14v,H,A,1,B,J,73,56,72,55
f15r,H,A,1,B,K,96,75,96,75
f15v,H,A,1,B,L,72,51,69,48
f16r,H,A,1,B,M,79,69,79,69
f16v,H,A,1,B,N,74,60,73,59
f17r,H,A,1,C,A,78,74,74,70
f17v,H,A,1,C,B,136,108,136,108
f18r,H,A,1,C,C,82,61,81,60
f18v,H,A,1,C,D,71,61,68,58
f19r,H,A,1,C,E,76,51,75,50
f19v,H,A,1,C,F,79,64,76,61
f20r,H,A,1,C,G,86,76,84,74
f20v,H,A,1,C,H,89,69,88,68
f21r,H,A,1,C,I,97,80,97,80
f21v,H,A,1,C,J,58,44,58,44
f22r,H,A,1,C,K,109,81,106,78
f22v,H,A,1,C,L,76,61,75,60
f23r,H,A,1,C,M,106,80,103,77
f23v,H,A,1,C,N,93,77,91,75
f24r,H,A,1,C,O,108,84,105,81
f24v,H,A,1,C,P,82,78,76,72
f25r,H,A,1,D,A,49,42,49,42
f25v,H,A,1,D,B,59,45,58,44
f26r,H,B,2,D,C,90,67,88,65
f26v,H,B,2,D,D,91,76,86,71
f27r,H,A,1,D,E,92,65,91,64
f27v,H,A,1,D,F,59,52,56,49
f28r,H,A,1,D,G,67,55,67,55
f28v,H,A,1,D,H,69,51,68,50
f29r,H,A,1,D,I,66,56,65,55
f29v,H,A,1,D,J,95,73,94,72
f30r,H,A,1,D,K,96,80,96,80
f30v,H,A,1,D,L,64,52,64,52
f31r,H,B,2,D,M,103,80,103,80
f31v,H,B,2,D,N,109,101,108,100
f32r,H,A,1,D,O,75,64,75,64
f32v,H,A,1,D,P,85,62,82,59
f33r,H,B,2,E,A,72,58,72,58
f33v,H,B,2,E,B,110,79,110,79
f34r,H,B,2,E,C,143,118,143,118
f34v,H,B,2,E,D,117,96,114,93
f35r,H,A,1,E,E,91,69,91,69
f35v,H,A,1,E,F,86,69,85,68
f36r,H,A,1,E,G,63,55,63,55
f36v,H,A,1,E,H,72,59,72,59
f37r,H,A,1,E,I,79,61,78,60
f37v,H,A,1,E,J,88,66,88,66
f38r,H,A,1,E,K,41,36,41,36
f38v,H,A,1,E,L,65,45,64,44
